time,summary,icon,sunriseTime,sunsetTime,moonPhase,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,temperatureHigh,temperatureHighTime,temperatureLow,temperatureLowTime,apparentTemperatureHigh,apparentTemperatureHighTime,apparentTemperatureLow,apparentTemperatureLowTime,dewPoint,humidity,pressure,windSpeed,windGust,windGustTime,windBearing,cloudCover,uvIndex,uvIndexTime,visibility,temperatureMin,temperatureMinTime,temperatureMax,temperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,apparentTemperatureMax,apparentTemperatureMaxTime,precipAccumulation
2017-09-30T04:00:00Z,Mostly cloudy throughout the day.,partly-cloudy-day,2017-09-30T10:52:59Z,2017-09-30T22:40:49Z,0.33,5e-4,0.0048,2017-09-30T19:00:00Z,0.15,rain,62.64,1506794400,49.28,1506855600,62.64,1506794400,49.28,1506855600,49.53,0.72,1020.62,3.59,13.2,1506805200,345,0.71,4,1506787200,9.97,54.54,2017-10-01T03:00:00Z,62.64,2017-09-30T18:00:00Z,54.54,2017-10-01T03:00:00Z,62.64,2017-09-30T18:00:00Z,
2017-10-01T04:00:00Z,Partly cloudy in the morning.,partly-cloudy-night,2017-10-01T10:54:00Z,2017-10-01T22:39:09Z,0.36,0,0,,0,,67.15,1506891600,49.06,1506942000,67.15,1506891600,49.06,1506942000,45.68,0.66,1027.62,1.24,6.35,1506866400,2,0.2,5,1506873600,9.99,49.28,2017-10-01T11:00:00Z,67.15,2017-10-01T21:00:00Z,49.28,2017-10-01T11:00:00Z,67.15,2017-10-01T21:00:00Z,
2017-10-02T04:00:00Z,Clear throughout the day.,clear-day,2017-10-02T10:55:00Z,2017-10-02T22:37:29Z,0.39,0,0,,0,,71.47,1506974400,51.02,1507024800,71.47,1506974400,51.02,1507024800,45.38,0.62,1029.23,0.35,6.19,1506952800,48,0,5,1506960000,9.98,49.06,2017-10-02T11:00:00Z,71.47,2017-10-02T20:00:00Z,49.06,2017-10-02T11:00:00Z,71.47,2017-10-02T20:00:00Z,
2017-10-03T04:00:00Z,Partly cloudy until afternoon.,partly-cloudy-day,2017-10-03T10:56:01Z,2017-10-03T22:35:50Z,0.42,0,0,,0,,68.63,1507057200,51.27,1507114800,68.63,1507057200,51.27,1507114800,49.23,0.7,1035.49,1.95,8.25,1507050000,136,0.12,4,1507046400,9.99,51.02,2017-10-03T10:00:00Z,68.63,2017-10-03T19:00:00Z,51.02,2017-10-03T10:00:00Z,68.63,2017-10-03T19:00:00Z,
2017-10-04T04:00:00Z,Partly cloudy overnight.,partly-cloudy-night,2017-10-04T10:57:01Z,2017-10-04T22:34:11Z,0.46,0,0,,0,,74.48,1507147200,63.18,1507201200,74.48,1507147200,63.18,1507201200,53.96,0.73,1028.62,3.15,9.57,1507150800,225,0.02,5,1507132800,9.99,51.27,2017-10-04T11:00:00Z,74.48,2017-10-04T20:00:00Z,51.27,2017-10-04T11:00:00Z,74.48,2017-10-04T20:00:00Z,
2017-10-05T04:00:00Z,Mostly cloudy throughout the day.,partly-cloudy-day,2017-10-05T10:58:03Z,2017-10-05T22:32:32Z,0.49,2e-4,0.005,2017-10-06T03:00:00Z,0.33,rain,81.74,1507233600,66.43,1507287600,83.05,1507233600,67,1507291200,60.64,0.69,1019.68,4.04,9.07,1507176000,239,0.51,5,1507219200,9.99,63.18,2017-10-05T11:00:00Z,81.74,2017-10-05T20:00:00Z,63.18,2017-10-05T11:00:00Z,83.05,2017-10-05T20:00:00Z,
2017-10-06T04:00:00Z,Partly cloudy throughout the day.,partly-cloudy-day,2017-10-06T10:59:04Z,2017-10-06T22:30:55Z,0.53,3e-4,0.0043,2017-10-06T04:00:00Z,0.35,rain,79.86,1507312800,65.02,1507374000,79.96,1507312800,65.54,1507374000,63.5,0.77,1018.6,1.3,6.54,1507312800,242,0.41,5,1507305600,9.76,66.43,2017-10-06T11:00:00Z,79.86,2017-10-06T18:00:00Z,67,2017-10-06T12:00:00Z,79.96,2017-10-06T18:00:00Z,
2017-10-07T04:00:00Z,Partly cloudy throughout the day.,partly-cloudy-day,2017-10-07T11:00:06Z,2017-10-07T22:29:17Z,0.57,0,0,,0,,78.99,1507399200,71.63,1507435200,79.56,1507399200,72.5,1507431600,65.15,0.81,1018.89,2.51,9.52,1507420800,173,0.38,5,1507395600,9.1,65.02,2017-10-07T11:00:00Z,78.99,2017-10-07T18:00:00Z,65.54,2017-10-07T11:00:00Z,79.56,2017-10-07T18:00:00Z,
2017-10-08T04:00:00Z,Rain until afternoon.,rain,2017-10-08T11:01:08Z,2017-10-08T22:27:41Z,0.6,0.0051,0.0584,2017-10-08T14:00:00Z,0.87,rain,76.8,1507492800,71.73,1507546800,78.21,1507492800,73.07,1507546800,70.34,0.89,1014.69,4.38,9.58,1507456800,200,0.8,3,1507474800,9.22,71.63,2017-10-08T04:00:00Z,76.8,2017-10-08T20:00:00Z,72.52,2017-10-08T04:00:00Z,78.21,2017-10-08T20:00:00Z,
2017-10-09T04:00:00Z,Rain in the afternoon.,rain,2017-10-09T11:02:11Z,2017-10-09T22:26:05Z,0.64,0.0098,0.0788,2017-10-09T18:00:00Z,0.95,rain,74.67,1507590000,66.07,1507633200,76.23,1507590000,66.39,1507633200,71.45,0.94,1013.49,4.1,15.05,1507572000,189,0.88,3,1507561200,7.73,71.73,2017-10-09T11:00:00Z,75.15,2017-10-10T03:00:00Z,73.07,2017-10-09T11:00:00Z,76.75,2017-10-10T03:00:00Z,
